Details,Posting Date,"Description",Amount,Type,Balance,Check or Slip #,
CREDIT,12/31/2012,"Credit Return: Online Payment 2879497600 To OG&E",75.83,MISC_CREDIT,2506.82,,
CREDIT,12/21/2012,"INTEREST PAYMENT",0.02,MISC_CREDIT,2430.99,,
DEBIT,12/10/2012,"12/08 Mobile Text Transfer to CHK XXXX4548 12/10",-100.00,ACCT_XFER,2430.97,,
DEBIT,12/7/2012,"Online Payment 3000333615 To cleveland county treasurer 12/07",-1559.20,BILLPAY,2530.97,,
DEBIT,12/7/2012,"Online Payment 3000331107 To GUARDIAN SECURITY SYSTEMS INC 12/07",-24.95,BILLPAY,4090.17,,
DEBIT,12/7/2012,"Online Payment 3000331100 To AT&T 12/07",-48.29,BILLPAY,4115.12,,
CREDIT,11/23/2012,"INTEREST PAYMENT",0.04,MISC_CREDIT,4163.41,,
DEBIT,11/20/2012,"Online Payment 2973106735 To OG&E 11/20",-54.92,BILLPAY,4163.37,,
DEBIT,11/20/2012,"Online Payment 2973106743 To State Farm 11/20",-426.28,BILLPAY,4218.29,,
DEBIT,11/20/2012,"Online Payment 2973106727 To CITY OF MOORE, OK 11/20",-62.66,BILLPAY,4644.57,,
DEBIT,11/20/2012,"Online Payment 2973106714 To Citibusiness Card 11/20",-500.00,BILLPAY,4707.23,,
DEBIT,11/5/2012,"Online Payment 2948092294 To GUARDIAN SECURITY SYSTEMS INC 11/05",-24.95,BILLPAY,5207.23,,
DEBIT,11/5/2012,"Online Payment 2948092286 To AT&T 11/05",-96.98,BILLPAY,5232.18,,
DEBIT,10/24/2012,"OG&E             BILL PAY   36933871        TEL ID: 9020714795",-189.52,ACH_DEBIT,5329.16,,
CREDIT,10/22/2012,"INTEREST PAYMENT",0.05,MISC_CREDIT,5518.68,,
DEBIT,10/22/2012,"Online Payment 2924616966 To OKLAHOMA NATURAL GAS 10/22",-56.48,BILLPAY,5518.63,,
DEBIT,10/22/2012,"Online Payment 2924616953 To CITY OF MOORE, OK 10/22",-62.57,BILLPAY,5575.11,,
DEBIT,10/22/2012,"Online Payment 2924616970 To State Farm 10/22",-432.38,BILLPAY,5637.68,,
DEBIT,10/22/2012,"Online Payment 2924616947 To Brandon's Complete Lawn Care 10/22",-305.00,BILLPAY,6070.06,,
DEBIT,10/22/2012,"Online Payment 2924616950 To Citibusiness Card 10/22",-500.00,BILLPAY,6375.06,,
CREDIT,9/24/2012,"INTEREST PAYMENT",0.05,MISC_CREDIT,6875.06,,
DEBIT,9/24/2012,"Online Payment 2879497603 To Oklahoma Natural Gas 09/24",-28.56,BILLPAY,6875.01,,
DEBIT,9/24/2012,"Online Payment 2879497609 To State Farm 09/24",-436.69,BILLPAY,6903.57,,
